season;team;offense_completion_percentage;offense_total_yards_gained_pass;offense_total_yards_gained_run;offense_ave_yards_gained_pass;offense_ave_yards_gained_run;offense_total_air_yards;offense_ave_air_yards;offense_total_yac;offense_ave_yac;offense_n_plays_pass;offense_n_plays_run;offense_n_interceptions;offense_n_fumbles_lost_pass;offense_n_fumbles_lost_run;offense_total_epa_pass;offense_total_epa_run;offense_ave_epa_pass;offense_ave_epa_run;offense_total_wpa_pass;offense_total_wpa_run;offense_ave_wpa_pass;offense_ave_wpa_run;offense_success_rate_pass;offense_success_rate_run;defense_completion_percentage;defense_total_yards_gained_pass;defense_total_yards_gained_run;defense_ave_yards_gained_pass;defense_ave_yards_gained_run;defense_total_air_yards;defense_ave_air_yards;defense_total_yac;defense_ave_yac;defense_n_plays_pass;defense_n_plays_run;defense_n_interceptions;defense_n_fumbles_lost_pass;defense_n_fumbles_lost_run;defense_total_epa_pass;defense_total_epa_run;defense_ave_epa_pass;defense_ave_epa_run;defense_total_wpa_pass;defense_total_wpa_run;defense_ave_wpa_pass;defense_ave_wpa_run;defense_success_rate_pass;defense_success_rate_run;points_scored;points_allowed;wins;losses;ties;score_differential
1999;WAS;0,569148936;3912;1988;6,936170213;4,538812785;0;NA;0;NA;564;438;14;7;2;50,63854782;25,87455918;0,089784659;0,059074336;0,847144507;0,391864637;0,001502029;0,000894668;0,432624113;0,45890411;0,523424879;3693;1964;5,966074313;4,546296296;0;NA;0;NA;619;432;21;7;5;5,703120558;-7,961130569;0,009213442;-0,018428543;-1,840773417;-0,382100889;-0,002973786;-0,000884493;0,407108239;0,37962963;443;377;10;6;0;66
2000;ARI;0,53516295;3161;1258;5,421955403;3,678362573;0;NA;0;NA;583;342;23;8;7;-75,53218843;-71,01234686;-0,129557785;-0,207638441;-1,309192172;-2,375274847;-0,002245613;-0,006945248;0,394511149;0,365497076;0,616842105;3111;2549;6,549473684;4,471929825;0;NA;0;NA;475;570;8;5;5;78,63567197;32,5151987;0,165548783;0,057044208;-0,428851631;0,4552327;-0,000902846;0,000798654;0,467368421;0,447368421;210;443;3;13;0;-233
2000;ATL;0,492982456;2753;1186;4,829824561;3,447674419;0;NA;0;NA;570;344;20;6;5;-139,4599034;-68,52308512;-0,244666497;-0,199195015;-3,954575759;-1,99980528;-0,006937852;-0,005813387;0,373684211;0,340116279;0,556377079;3597;1976;6,648798521;4,362030905;0;NA;0;NA;541;453;15;5;3;40,79553923;-20,40988114;0,075407651;-0,045054925;-0,954632786;-0,319578524;-0,001764571;-0,000705471;0,443622921;0,370860927;252;413;4;12;0;-161
2000;BAL;0,522058824;2768;2161;5,088235294;4,262327416;0;NA;0;NA;544;507;19;4;2;-44,71128341;-17,38564788;-0,082189859;-0,034291219;-2,651649857;-0,282001234;-0,004874356;-0,000556215;0,397058824;0,406311637;0,526978417;2994;945;5,384892086;2,639664804;0;NA;0;NA;556;358;22;9;14;-83,9058631;-129,1440017;-0,150909826;-0,360737435;-2,274094112;-3,188465502;-0,004090097;-0,008906328;0,386690647;0,287709497;333;165;12;4;0;168
2000;BUF;0,525846702;3362;1840;5,992869875;4,079822616;0;NA;0;NA;561;451;8;5;5;-0,324520146;-59,01557513;-0,000578467;-0,130854934;0,937267666;0,025563039;0,001670709;5,66808E-05;0,431372549;0,368070953;0,542510121;2727;1409;5,520242915;3,58524173;0;NA;0;NA;494;393;14;9;3;-31,57750307;-51,0714735;-0,063922071;-0,129952859;-0,990955416;-1,058077891;-0,002005983;-0,00269231;0,390688259;0,340966921;315;350;8;8;0;-35
2000;CAR;0,53525641;3434;1175;5,503205128;3,376436782;0;NA;0;NA;624;348;19;12;2;-40,0499835;-39,15058301;-0,064182666;-0,112501675;-2,889064938;-0,963956114;-0,004629912;-0,002769989;0,453525641;0,318965517;0,604852686;3690;1920;6,395147314;4,648910412;0;NA;0;NA;577;413;17;10;7;16,17685994;-26,16949663;0,028036152;-0,063364399;-0,477286105;-0,065518034;-0,000827186;-0,000159024;0,45407279;0,418886199;310;310;7;9;0;0
2000;CHI;0,528998243;2773;1715;4,873462214;4,162621359;0;NA;0;NA;569;412;14;5;7;-98,7983257;-39,11298299;-0,173635019;-0,094934425;-2,331174357;-1,181547489;-0,004096967;-0,002867834;0,386643234;0,398058252;0,584805654;3412;1781;6,028268551;3,87173913;0;NA;0;NA;566;460;11;5;3;10,70208216;-23,66517153;0,018908272;-0,051446025;-2,45058464;-0,475363073;-0,004329655;-0,001033398;0,45229682;0,363043478;216;355;5;11;0;-139
2000;CIN;0,412825651;1944;2182;3,895791583;4,593684211;0;NA;0;NA;499;475;14;9;6;-138,8966092;-26,29002984;-0,278349918;-0,055347431;-3,300722169;-0,564284148;-0,006614674;-0,001187967;0,306613226;0,385263158;0,5625;3534;1894;6,310714286;3,810865191;0;NA;0;NA;560;497;9;3;7;82,98578602;-67,98705535;0,148188904;-0,13679488;1,651530478;-1,088635685;0,002949162;-0,002190414;0,433928571;0,364185111;185;359;4;12;0;-174
2000;CLE;0,535783366;2434;1057;4,707930368;3,18373494;0;NA;0;NA;517;332;19;5;2;-120,1907518;-67,42313414;-0,232477276;-0,203081729;-1,675913808;-1,600286887;-0,003241613;-0,004820141;0,332688588;0,295180723;0,497120921;3102;2384;5,953934741;4,082191781;0;NA;0;NA;521;584;12;5;4;28,29347181;9,988792141;0,054306088;0,017104096;-0,841340727;0,65449232;-0,001614857;0,001120706;0,422264875;0,417808219;161;419;3;13;0;-258
2000;DAL;0,524109015;2472;1938;5,182389937;4,222222222;0;NA;0;NA;477;459;21;8;7;-73,71930587;-13,21624273;-0,154547811;-0,028793557;-2,321896308;-0,955572322;-0,004867707;-0,002086402;0,385744235;0,433551198;0,577731092;2640;2554;5,546218487;4,855513308;0;NA;0;NA;476;526;14;4;3;5,198170209;19,02201135;0,010920526;0,03616352;0,221820298;0,366801392;0,000466009;0,000697341;0,424369748;0,458174905;294;361;5;11;0;-67
